OrderID,Date,CustomerID,CustomerType,Region,Product,Category,QuantityKg,UnitPrice,Discount%,Channel
ORD888056,2024-11-20,CUST7827,Retailer,North East,Button,Cultivated,10.9,6.3,0,Direct Market
ORD221839,2024-10-13,CUST7859,Retailer,London,Chestnut,Cultivated,373.6,,0,Distributor
ORD731533,2024-05-13,CUST2916,Wholesaler,South West,Oyster,Cultivated,342.8,14.86,0,Direct Market
ORD616699,2024-04-04,CUST8362,Wholesaler,Midlands,Enoki,Cultivated,53.4,12.73,0,Direct Market
ORD917823,2024-01-09,CUST3486,Retailer,Scotland,Chestnut,Cultivated,116.5,16.95,10,Distributor
ORD581197,2024-06-14,CUST4320,Restaurant,South West,Shiitake,Cultivated,113.5,7.67,0,Online Order
ORD601465,2024-01-06,CUST2107,Wholesaler,Midlands,Shiitake,Cultivated,330.6,2.62,0,Direct Market
ORD577924,2024-05-31,CUST3415,Caterer,North East,Enoki,Cultivated,336.5,13.03,0,Distributor
ORD469428,2024-02-28,CUST2451,,Scotland,Shiitake,Cultivated,461.6,12.66,0,Distributor
ORD460182,2024-06-30,CUST1379,Caterer,London,Button,Cultivated,207.9,13.25,0,Online Order
ORD307536,2024-03-14,CUST5004,Wholesaler,Scotland,Enoki,Cultivated,20.4,2.54,0,Distributor
ORD428512,2024-01-05,CUST6844,Restaurant,South West,Enoki,Cultivated,124.9,8.8,0,Direct Market
ORD520040,2024-07-06,CUST1838,Wholesaler,South West,Enoki,Cultivated,13.9,5.08,5,Direct Market
ORD512440,2024-08-03,CUST9792,Caterer,Scotland,Portobello,Cultivated,112.7,13.44,0,Direct Market
ORD688072,2024-07-19,CUST5675,Caterer,North East,Wild Mix,Wild,241.2,3.71,0,Online Order
ORD509491,2024-04-23,CUST8556,Caterer,,Portobello,Cultivated,58.7,12.56,0,Distributor
ORD492393,2024-04-20,CUST1612,Retailer,Midlands,Wild Mix,Wild,81.4,2.52,5,Direct Market
ORD241049,2024-02-01,CUST1515,Wholesaler,Midlands,Portobello,Cultivated,297.1,8.63,0,Distributor
ORD524368,2024-05-19,CUST1840,Retailer,North East,Oyster,Cultivated,134.1,4.68,0,Distributor
ORD105980,2024-10-21,CUST2723,Restaurant,,Portobello,Cultivated,14.2,5.98,10,Distributor
ORD647589,2024-11-03,CUST2255,Wholesaler,South West,Portobello,Cultivated,241.6,17.62,0,Online Order
ORD514463,2024-09-26,CUST1897,Retailer,London,Portobello,Cultivated,86.8,4.99,0,Direct Market
ORD430726,2024-01-14,CUST3251,Caterer,Scotland,Button,Cultivated,83.0,3.02,0,Online Order
ORD666838,2024-04-01,CUST6245,Restaurant,London,Oyster,Cultivated,4.7,7.23,0,Distributor
ORD733970,2024-04-17,CUST5209,Wholesaler,Midlands,Enoki,Cultivated,124.4,9.98,0,Distributor
ORD233644,2024-02-07,CUST7591,Wholesaler,North East,Chestnut,Cultivated,482.5,12.83,0,Online Order
ORD152505,2024-01-21,CUST7050,Wholesaler,North East,Button,Cultivated,451.3,17.51,0,Online Order
ORD547387,2024-09-03,CUST5283,Retailer,North East,Wild Mix,Wild,72.1,7.53,0,Direct Market
ORD718439,2024-02-06,CUST4241,Caterer,South West,Portobello,Cultivated,420.8,9.15,5,Distributor
ORD724594,2024-05-01,CUST6916,Restaurant,,Oyster,Cultivated,36.2,4.68,5,Online Order
ORD772491,2024-03-26,CUST9749,Wholesaler,Scotland,Enoki,Cultivated,142.3,2.89,0,Distributor
ORD613900,2024-12-30,CUST5104,Wholesaler,Scotland,Chestnut,Cultivated,307.2,3.34,5,Online Order
ORD959926,2024-07-01,CUST3848,Restaurant,South West,Shiitake,Cultivated,93.8,12.88,15,Online Order
ORD304721,2024-01-07,CUST1888,Restaurant,London,Shiitake,Cultivated,251.9,4.78,0,Direct Market
ORD111908,2024-10-02,CUST1371,Retailer,South West,Button,Cultivated,283.5,16.29,5,Distributor
ORD205338,2024-09-23,CUST2476,Caterer,South West,Button,Cultivated,333.6,10.51,5,Direct Market
ORD468069,2024-12-28,CUST5819,Retailer,Scotland,Button,Cultivated,82.1,17.33,0,Direct Market
ORD994997,2024-01-02,CUST7199,Retailer,North East,Wild Mix,Wild,254.7,,0,Distributor
ORD789173,2024-07-29,CUST2234,Restaurant,North East,Chestnut,Cultivated,170.9,15.72,0,Online Order
ORD308573,2024-09-16,CUST3504,Retailer,Scotland,Button,Cultivated,345.4,14.47,0,Distributor
ORD307547,2024-08-22,CUST2713,Caterer,London,Wild Mix,Wild,225.5,16.74,10,Direct Market
ORD614962,2024-11-03,CUST7938,Wholesaler,Scotland,Enoki,Cultivated,195.3,17.86,10,Online Order
ORD475783,2024-08-07,CUST2458,Caterer,Scotland,Chestnut,Cultivated,263.1,3.72,0,Distributor
ORD661339,2024-02-10,CUST1776,Caterer,North East,Shiitake,Cultivated,157.9,5.53,5,Online Order
ORD535060,2024-03-27,CUST2095,Restaurant,London,Wild Mix,Wild,19.4,6.46,0,Direct Market
ORD500721,2024-09-05,CUST1962,Restaurant,Midlands,Enoki,Cultivated,57.2,5.31,0,Distributor
ORD738271,2024-01-28,CUST7852,Retailer,Midlands,Portobello,Cultivated,435.4,5.59,0,Distributor
ORD359600,2024-04-26,CUST9920,Caterer,London,Portobello,Cultivated,83.8,16.05,5,Distributor
ORD140163,2024-02-20,CUST5700,Retailer,Midlands,Enoki,Cultivated,464.2,4.88,0,Direct Market
ORD646699,2024-01-21,CUST5480,Retailer,London,Portobello,Cultivated,148.6,11.77,0,Distributor
ORD979960,2024-09-14,CUST2354,Retailer,Midlands,Enoki,Cultivated,116.9,8.88,0,Distributor
ORD780400,2024-01-29,CUST6705,Retailer,South West,Portobello,Cultivated,255.0,12.92,0,Distributor
