OrderID,Date,CustomerID,CustomerType,Region,Product,Category,QuantityKg,UnitPrice,Discount%,Channel
ORD474898,2025-07-20,CUST9501,Restaurant,South West,Shiitake,Cultivated,16.0,16.72,0,Online Order
ORD401135,2025-05-04,CUST2110,Restaurant,South West,Button,Cultivated,10.3,10.07,0,Direct Market
ORD798511,2025-09-22,CUST7041,Restaurant,South West,Button,Cultivated,83.8,15.65,0,Direct Market
ORD651910,2025-04-30,CUST4522,Retailer,Scotland,Enoki,Cultivated,349.9,4.02,15,Distributor
ORD495471,2025-05-25,CUST9132,Wholesaler,Midlands,Wild Mix,Wild,13.0,3.09,10,Direct Market
ORD505161,2025-06-13,CUST4693,Wholesaler,North East,Shiitake,Cultivated,199.0,13.0,0,Direct Market
ORD570908,2025-06-18,CUST3966,Retailer,Midlands,Wild Mix,Wild,30.9,4.99,0,Distributor
ORD240335,2025-09-07,CUST1519,Caterer,Midlands,Shiitake,Cultivated,17.6,5.88,0,Distributor
ORD231143,2025-04-01,CUST6075,Retailer,Midlands,Enoki,Cultivated,216.9,3.67,0,Online Order
ORD888456,2025-08-22,CUST7538,Wholesaler,Midlands,Wild Mix,Wild,59.5,14.19,0,Distributor
ORD185357,2025-09-12,CUST8153,Wholesaler,North East,Oyster,Cultivated,82.0,7.0,10,Online Order
ORD920051,2025-06-22,CUST7834,Restaurant,Midlands,Chestnut,Cultivated,151.3,9.6,0,Distributor
ORD971505,2025-07-08,CUST7527,Wholesaler,North East,Shiitake,Cultivated,266.8,3.5,5,Direct Market
ORD563634,2025-06-02,CUST2775,Restaurant,North East,Chestnut,Cultivated,70.5,14.65,10,Online Order
ORD160450,2025-08-30,CUST2608,Restaurant,Scotland,Shiitake,Cultivated,160.3,13.23,5,Direct Market
ORD871671,2025-09-24,CUST2920,Retailer,South West,Chestnut,Cultivated,78.1,12.85,0,Online Order
ORD201847,2025-01-02,CUST7617,Restaurant,Scotland,Shiitake,Cultivated,289.8,15.85,0,Direct Market
ORD766782,2025-04-13,CUST5392,Wholesaler,London,Chestnut,Cultivated,70.1,2.7,0,Distributor
ORD166577,2025-03-19,CUST9035,Caterer,Midlands,Enoki,Cultivated,309.5,5.11,0,Direct Market
ORD402525,2025-07-12,CUST6107,Caterer,London,Button,Cultivated,2.6,15.25,0,Direct Market
ORD712915,2025-06-03,CUST3475,Wholesaler,North East,Shiitake,Cultivated,192.3,9.64,0,Direct Market
ORD114548,2025-02-14,CUST1197,Retailer,South West,Portobello,Cultivated,256.4,9.52,0,Online Order
ORD431276,2025-08-09,CUST8834,Retailer,Scotland,Oyster,Cultivated,111.6,10.91,0,Direct Market
ORD936248,2025-04-22,CUST9444,Caterer,North East,Oyster,Cultivated,117.3,10.61,0,Distributor
ORD368055,2025-03-23,CUST8159,Caterer,North East,Enoki,Cultivated,105.8,9.99,0,Direct Market
ORD470254,2025-07-03,CUST2789,,London,Chestnut,Cultivated,207.3,9.88,10,Online Order
ORD746990,2025-10-01,CUST5469,,London,Wild Mix,Wild,89.9,8.41,5,Online Order
ORD374181,2025-09-15,CUST2873,Restaurant,North East,Enoki,Cultivated,27.3,5.85,15,Direct Market
ORD808522,2025-08-22,CUST1214,Restaurant,South West,Wild Mix,Wild,165.9,6.91,0,Distributor
ORD972253,2025-09-11,CUST7930,Wholesaler,London,Oyster,Cultivated,344.8,11.95,0,Distributor
ORD504954,2025-06-20,CUST3275,Wholesaler,South West,Shiitake,Cultivated,180.8,8.71,5,Online Order
ORD696622,2025-07-28,CUST7647,Wholesaler,,Button,Cultivated,206.1,16.36,10,Direct Market
ORD674163,2025-02-14,CUST8396,Retailer,North East,Shiitake,Cultivated,320.8,7.1,0,Online Order
ORD821298,2025-03-28,CUST5938,Caterer,London,Shiitake,Cultivated,56.4,17.93,0,Direct Market
ORD206497,2025-09-06,CUST4255,,North East,Wild Mix,Wild,332.6,6.84,0,Direct Market
